18,230,1038.44,154.09,111.97,246.08,1,-1,-1,-1
30,230,836.69,183.24,133.10,233.69,1,-1,-1,-1
31,231,1220.38,242.81,50.89,163.26,1,-1,-1,-1
37,230,1120.11,268.89,100.06,344.19,1,-1,-1,-1
80,232,1148.86,156.18,125.66,259.73,1,-1,-1,-1
89,233,682.18,957.91,165.21,122.07,1,-1,-1,-1
94,233,652.51,861.55,270.52,216.59,1,-1,-1,-1
95,233,927.55,473.89,192.16,552.88,1,-1,-1,-1
96,233,1045.09,302.83,144.20,440.33,1,-1,-1,-1
97,233,1090.61,213.66,106.05,314.58,1,-1,-1,-1
98,233,1214.18,183.89,70.42,253.61,1,-1,-1,-1
111,233,976.26,181.33,78.60,236.39,1,-1,-1,-1
120,233,1205.29,306.51,157.93,368.49,1,-1,-1,-1
134,233,1132.44,278.29,137.55,351.51,1,-1,-1,-1
135,233,1220.40,322.61,125.05,389.95,1,-1,-1,-1
136,233,1274.99,323.32,116.79,385.35,1,-1,-1,-1
198,234,1014.29,182.97,101.03,318.70,1,-1,-1,-1
199,234,1184.07,263.33,198.00,461.78,1,-1,-1,-1
200,234,1172.29,399.18,235.08,600.04,1,-1,-1,-1
201,234,1036.52,627.91,308.54,450.71,1,-1,-1,-1
202,234,806.57,727.93,280.00,350.84,1,-1,-1,-1
203,234,793.14,620.17,285.33,458.10,1,-1,-1,-1
204,234,1162.68,494.87,216.43,586.47,1,-1,-1,-1
205,234,1223.31,477.30,193.71,600.75,1,-1,-1,-1
206,234,1202.29,489.83,180.48,589.05,1,-1,-1,-1
207,234,1204.99,502.43,207.35,576.35,1,-1,-1,-1
208,234,1185.22,416.79,238.87,626.68,1,-1,-1,-1
209,234,1168.73,478.34,235.37,598.63,1,-1,-1,-1
210,234,1109.35,287.83,188.68,474.71,1,-1,-1,-1
211,234,1101.11,282.30,153.76,475.25,1,-1,-1,-1
212,234,1233.93,275.07,158.13,419.80,1,-1,-1,-1
215,234,1079.44,120.57,135.42,253.30,1,-1,-1,-1
218,234,845.90,187.99,113.82,227.34,1,-1,-1,-1
231,234,1140.69,165.55,109.20,267.74,1,-1,-1,-1
233,235,1093.81,269.23,115.56,426.73,1,-1,-1,-1
233,234,1231.20,302.88,119.42,366.14,1,-1,-1,-1
234,235,996.15,240.24,96.64,288.48,1,-1,-1,-1
235,235,810.38,208.81,67.12,235.04,1,-1,-1,-1
268,236,1074.87,170.37,72.76,252.77,1,-1,-1,-1
284,236,997.68,158.65,116.85,262.25,1,-1,-1,-1
302,236,1193.84,165.96,61.11,238.76,1,-1,-1,-1
346,237,1079.04,166.44,63.77,228.90,1,-1,-1,-1
365,237,1059.18,210.89,127.26,344.20,1,-1,-1,-1
366,237,1172.57,165.17,90.91,266.63,1,-1,-1,-1
368,237,869.41,168.94,119.55,295.30,1,-1,-1,-1
369,237,958.86,199.47,126.17,359.13,1,-1,-1,-1
370,237,1076.35,252.13,166.49,445.72,1,-1,-1,-1
371,237,1150.90,330.72,212.45,583.25,1,-1,-1,-1
372,237,1055.99,346.99,167.68,591.66,1,-1,-1,-1
373,237,987.49,286.27,164.66,497.32,1,-1,-1,-1
